comment,label,language
basta lang naay matudlo.,negative,cebuano
mag lisod og explain sa student about sa iya topic.,negative,cebuano
di mo discuss og maayo.,negative,cebuano
gahi pasabton.,negative,cebuano
dumb.,neutral,english
nothing i can say.,neutral,english
fair enough.,neutral,english
sure.,neutral,english
good but lazy.,neutral,english
good nga diko ganahan.,neutral,cebuano
okay ra.,neutral,cebuano
madara nga maestro.,neutral,cebuano
seyoso pero dili suited.,neutral,cebuano
di ko sure.,neutral,cebuano
gamay muhatag ug grado,negative,cebuano
kamao mutudlo,postive,cebuano
dili musulod on time,negative,cebuano
musulod on time,postive,cebuano
dili mo tudlo,negative,cebuano
way ayo nga maestro,negative,cebuano
sige lang ug absent,negative,cebuano
dili mo check sa activity,negative,cebuano
dili mo check sa assignment,negative,cebuano
does not follow schedule,negative,english
very lazy,negative,english
does not listen to his students,negative,english
does not explain the lessons well,negative,english
does not make his own resources,negative,english
sakto ra,neutral,cebuano
sakto ra gud,neutral,cebuano
normal ra,neutral,cebuano
dili nindot dili sad bati,neutral,cebuano
buotan pero tapulan,neutral,cebuano
fair,neutral,english
typical,neutral,english
good but lazy,neutral,english
moderate,neutral,english
just right,neutral,english
dako kaayo mo hatag ug grado,postive,cebuano
mo dawat bisan late,postive,cebuano
dili boring nga maestro,postive,cebuano
dili stricto,postive,cebuano
friendly,postive,english
humorous,postive,english
funny,postive,english
entertaining,postive,english
not boring,postive,english
thankyou sir,postive,english
dili mo reply,negative,cebuano
dili considerate,negative,cebuano
dili mo basa og message,negative,cebuano
sige ug ka late,negative,cebuano
dili mo tabang,negative,cebuano
ignores message,negative,english
does not reply to my concern,negative,english
not considerate,negative,english
does not reply to my message,negative,english
always late,negative,english
wala ra koy comment,neutral,cebuano
wala ra koy ma sturya,neutral,cebuano
walay libog,neutral,cebuano
dili subra dili sad kuwang,neutral,cebuano
ambot,neutral,cebuano
i do not have a comment,neutral,english
nothing,neutral,english
nothing to share,neutral,english
nothing to comment,neutral,english
i do not have any concern,neutral,english
daghang salamat miss,postive,cebuano
salamat kaayo miss,postive,cebuano
responsable nga maestra,postive,cebuano
responsible,postive,cebuano
daghan kog nakatunan,postive,cebuano
thank you ms,postive,english
thanks miss,postive,english
i learned a lot,postive,english
approachable,postive,english
very responsible,postive,english
boring mo tudlo,negative,cebuano
way kinabuhi,negative,cebuano
laay paminawm,negative,cebuano
hinay og tingug,negative,cebuano
kalas ug data,negative,cebuano
monotonous,negative,english
tedious,negative,english
uninteresting,negative,english
not interactive,negative,english
not confident,negative,english
sakto ra mo hatag grado,neutral,cebuano
sakto ra gud,neutral,cebuano
sakto mo discuss,neutral,cebuano
kalma nga maestra,neutral,cebuano
kalma mo tudlo,neutral,cebuano
just right,neutral,english
average,neutral,english
moderate,neutral,english
tolerable,neutral,english
simple,neutral,english
dili strict,postive,cebuano
matinabangon,postive,cebuano
dali maduolan,postive,cebuano
grabe ka buotan,postive,cebuano
approachable nga maestra,postive,cebuano
not strict,postive,english
helpful,postive,english
approachable,postive,english
very kind,postive,english
very humble,postive,english
dili mo tudlo,negative,cebuano
dili mo tudlo sa iyahang students,negative,cebuano
dili klaro mo tudlo,negative,cebuano
pirme mo gawas sa klase,negative,cebuano
sige lang ug gawas sa room,negative,cebuano
does not teach,negative,english
does not know how to teach,negative,english
does not teach her students,negative,english
always go out,negative,english
always go out of the class,negative,english
madala dala ra,neutral,cebuano
madala ra ug smile,neutral,cebuano
masabtan ra,neutral,cebuano
ok ra jud,neutral,cebuano
oki,neutral,cebuano
k,neutral,english
unbiased,neutral,english
alright,neutral,english
acceptable,neutral,english
fine,neutral,english
buotan pagka maestra,postive,cebuano
jamming nga maestra,postive,cebuano
kabalo mo sabot,postive,cebuano
di boring,postive,cebuano
positive nga maestra,postive,cebuano
friendly to her students,postive,english
very lively,postive,english
nice teacher,postive,english
amazing teacher,postive,english
enthusiastic,postive,english
very approachable instructor towards his students,postive,english
he is very nice and chill,postive,english
he doesn't pressure his students,postive,english
he satisfied his students when it comes to grades,postive,english
he is very friendly and jamming,postive,english
lami muhatag ug grado,postive,cebuano
but.an nga pag ka maestro,postive,cebuano
dili tihik muhatag ug grado basta mupass lang,postive,cebuano
musabut sa iyang mga estudyante kung di ka pass dayun,postive,cebuano
mutodlo sa studyante kung naglibug,postive,cebuano
chill,neutral,english
wala ray problema,neutral,cebuano
good,neutral,english
waley ra,neutral,cebuano
none,neutral,english
di mutodlo sa iyang klasi,negative,cebuano
segi lang ug pareport,negative,cebuano
exam nga way tudlotudlo,negative,cebuano
daghan kaayog ipabuhat nga wa mi alamag,negative,cebuano
tagsa ra musod sa klasi,negative,cebuano
pressure his students,negative,english
sleepy in class,negative,english
always absent,negative,english
don't discuss,negative,english
make his students report instead of him,negative,english
very generous instructor,postive,english
she is very considerate teacher I've known,postive,english
she looks nice and approachable,postive,english
help her students in a positive way,postive,english
she is so creative,postive,english
but.an kaayo si miss,postive,cebuano
dali ra mo reply or mutubag kung naay pangutana,postive,cebuano
matinabangun sa iyang mga estudyante,postive,cebuano
musabot sa usa ka estudyante kung ngano wa kapass,postive,cebuano
mutodlo hantud makamao ang studyante sa gi discuss,postive,cebuano
keep it up,neutral,english
hahaha,neutral,english
ay nalang ta,neutral,cebuano
maayo ma'am,neutral,cebuano
murag wala,neutral,cebuano
segi lang pa tanaw bidyu,negative,cebuano
di kamao mo explain usahay,negative,cebuano
way klaru muhatag instruction sa lms,negative,cebuano
di muhatag ug sakto nga tubag pangutan.on,negative,cebuano
her class is so boring because sge always play youtube video,negative,english
she don't discuss,negative,english
i don't like her ways of teaching,negative,english
she doesn't explain further when she discuss a lesson,negative,english
she provide confusing instruction,negative,english
boring kaayu iya klasi,negative,cebuano
Very approachable and jamming instructor,postive,english
cool teacher because she gives time to students,postive,english
she gives a very satisfying grades,postive,english
she always give her students a short break after major exams,postive,english
i like the materials she used in our class,postive,english
ganahan ko ni miss kay mo tagad jud nimu ba,postive,cebuano
ganahan ko ni miss kay di kalimut sa iyang estudyante,postive,cebuano
"si miss kay kalma ra kaayo, di manghasul ug studyante",postive,cebuano
nindut siya kay musabay sa iyang estudyante,postive,cebuano
dagko mohatag ug grades si miss naa pajuy plus points,postive,cebuano
she nice,neutral,english
chillin',neutral,english
kalma,neutral,cebuano
okay raman siya way problema,neutral,cebuano
okey keyooo,neutral,cebuano
bati segi lag pa answer,negative,cebuano
walay discussay,negative,cebuano
daghan pansweran,negative,cebuano
segi lag film showing,negative,cebuano
dili madoulan kung nay kinahanglan,negative,cebuano
sometimes she's out of nowhere,negative,english
i can't understand her discussion because she doesn't elaborate,negative,english
i don't like her because she is so timid,negative,english
she left us with a task that we don't know how to do it,negative,english
doesn't discuss any lesson,negative,english
very vigorous at teaching.,postive,english
very gregarious while discussing,postive,english
approachable when asked for clarifications,postive,english
considerate to close correct answers,postive,english
not very strict,postive,english
dako muhatag og grado,postive,cebuano
jamming na pagka maestro,postive,cebuano
dili strikto,postive,cebuano
maayo mu discuss,postive,cebuano
masabtan ra ang lessons,postive,cebuano
I have no problems with how he teaches us,neutral,english
just fine as an overall teacher,neutral,english
I have no concerns,neutral,english
I have undecided remarks,neutral,english
"fair enough, I have no words",neutral,english
ok ra na pagka maestro,neutral,cebuano
madala rag smile,neutral,cebuano
wala ra koy problema nya mutudlo,neutral,cebuano
cge lods,neutral,cebuano
wala na koy blema,neutral,cebuano
bad at discussion,negative,english
discussion is unclear,negative,english
not approachable,negative,english
keeps giving us reports to discuss without follow up discussion,negative,english
very complicated in discussing,negative,english
di kibaw mutudlo,negative,cebuano
way klaro mu discuss,negative,cebuano
dali2on pirmi ang klase,negative,cebuano
daghan pabuhat,negative,cebuano
way sudlanay klase,negative,cebuano
never gets late in class,postive,english
understandable discussion,postive,english
very approachable when I have concerns,postive,english
not very strict,postive,english
makes good examples to elaborate programming problems in real life situations,postive,english
maayo mutudlo,postive,cebuano
dili ma late sa klase,postive,cebuano
klaro ra mu discuss,postive,cebuano
di kaayo daghag ipabuhat,postive,cebuano
approachable ra og naa mi mga concern,postive,cebuano
i have no concerns about her way of teaching,neutral,english
no problems encountered so far,neutral,english
just cool with my concerns of her as a teacher,neutral,english
"Im even-minded at state right now, nothing really to comment",neutral,english
"just about right, nothing much to comment here.",neutral,english
oks ra,neutral,cebuano
mada rag smile,neutral,cebuano
wala ra ko problema sa iyang pag handle,neutral,cebuano
okay ra mutudlo,neutral,cebuano
wala ra koy ma tell,neutral,cebuano
not that well at teaching,negative,english
not really outgoing with her students,negative,english
doesn't put interesting notions during discussion,negative,english
makes up boring classes sometimes,negative,english
her way of discussing makes it boring to listen the lesson,negative,english
duka makadalag discuss usahay,negative,cebuano
way klaro usahay inig discuss,negative,cebuano
usahay di masabtan,negative,cebuano
libog mu explain,negative,cebuano
di kaayo professional mudala sa iyang klase,negative,cebuano
dili klaro iyang tinudloan.,negative,cebuano
basta lang maka hatag og activities.,negative,cebuano
igo ra mudawat dili mo check sa activities.,negative,cebuano
dili kaayo tarong iya mga explanation.,negative,cebuano
gamay mo hatag grado,negative,cebuano
does not provide good instructions.,negative,english
gives a lot of activities,negative,english
not a good example as a teacher.,negative,english
does not give high grades,negative,english
he does not teach well and lazy,negative,english
sakto ra nga mestro,neutral,cebuano
way kurat nga maestro,neutral,cebuano
wala ra,neutral,cebuano
natural ra mo tudlo,neutral,cebuano
payts ra pag ka maestro,neutral,cebuano
I cannot really say that much.,neutral,english
no comment,neutral,english
average teacher,neutral,english
good person,neutral,english
just leave it good,neutral,english
mo consider ra bisan late basta naay reason,postive,cebuano
boutan nga maestro,postive,cebuano
maayo ra pagka tao,postive,cebuano
mo hatag advice,postive,cebuano
masinabtanon nga maestro,postive,cebuano
very considerate about deadlines,postive,english
great improvement,postive,english
thank you sir,postive,english
responsible as a teacher,postive,english
gives high grades,postive,english
:),postive,english
